client_id,Client_Name,original_client_name
1,Michigan Minds,Michigan Minds
2,APT Foundation,APT
3,Care Coalition,Care Coalition
4,appropriate standardized name,Event: Could it be Psychosis? 
5,Calm Nola,CALM NOLA
6,STEP Learning Collaborative,Mindmap
7,Unknown Client,Unknown Client
8,NYC TCTTAC,NYCTCTTAC
9,Conscious Business Collaborative,Conscious Capitalism
10,Parker Marketing,parkermarketingandmanagement.com
11,Catalyst Personal Training Oceanside,Catalyst Personal Training Oceanside
12,Matelex US,Matelex US
13,The Fempire Co.,The Fempire Co.
14,Red Rock,Red Rock Branding
15,ManufactureCT,ManufactureCT
16,Amy Hughes Photography,Amy Hughes Photography AZ
17,Sunny Dublick Marketing,Sunny Dublick Marketing
18,The Barbell Saves Project,The Barbell Saves Project
