Client,Platform,Train Samples,Test Samples,Train MAE,Test MAE,Train R²,Test R²,Model Saved?
Michigan Minds,Facebook Pages,7,3,5.422857142857143,4859.012222222223,0.944997982313798,-6.9263980283103885,No
APT Foundation,Website,11,3,3998.8389055736016,104160.64561404765,0.7183079407355739,-0.34068465427337435,No
APT Foundation,Facebook Pages,11,3,8.407151515151515,19.868666666666666,0.864793151629924,0.02818589943932004,No
Care Coalition,Facebook Ads,8,3,735.8660128968254,1623.3938518518523,0.41259974314275394,0.04438739633914823,No
Calm Nola,Facebook Ads,7,3,2.1106564625850335,2.7912301587301585,0.45274740832535154,-0.05158728090726128,No
Calm Nola,Website,11,3,2140.5149045454277,8202.616250000165,0.9151220461323276,-2.550946057164294,No
STEP Learning Collaborative,Website,11,3,1997.7877909090857,8044.542066666665,0.8118381175247125,-0.17121472389800507,No
STEP Learning Collaborative,Facebook Pages,11,3,45.72684848484847,210.47333333333336,0.7989531932400675,-536.651681451613,No
STEP Learning Collaborative,Instagram,10,3,494.89878000000056,199.61918333333338,0.8292566349455881,-2.660406433965356,No
NYC TCTTAC,Website,11,3,6971.522620298001,43655.72755658128,0.5946191186122689,-0.125196502427795,No
Conscious Business Collaborative,Website,11,3,11395.918268181842,59935.37196666669,0.80922876061324,-1946.5582947011103,No
Conscious Business Collaborative,Facebook Pages,11,3,4.653232323232323,205.19888888888886,0.8541741263713938,-0.7114948126777092,No
Parker Marketing,Website,11,3,595.2403727272733,1812.1895666666671,0.8443821212171939,-6.229265091745911,No
Parker Marketing,Instagram,10,3,188.0776933333334,423.7586166666668,0.8188000566737688,-0.1412276438034008,No
Matelex US,Facebook Pages,11,3,10.129631870654604,27.6593247955748,0.7138084627918981,-25.671967627280498,No
Red Rock,Facebook Pages,11,3,2.1378787878787877,835.1922222222223,0.9102888616051233,-0.8014279540745461,No
Red Rock,Instagram,11,3,10.67082712121212,13.45494214285715,0.6325048271993974,-27.670024104106744,No
ManufactureCT,Facebook Pages,11,3,2.1212121212121207,14.246666666666664,0.9072105155616582,-0.9462486686390534,No
Amy Hughes Photography,Facebook Pages,8,2,1.7367807539682545,1.57063888888889,0.5371858860624494,0.0,No
Sunny Dublick Marketing,Facebook Pages,6,3,3.8783333333333325,12.33,0.7971327070552148,-701.3607499999999,No
The Barbell Saves Project,Facebook Pages,11,3,79.34192316017314,76.75808730158724,0.7889962111196285,-2.7570673934192444,No
The Barbell Saves Project,Instagram,11,3,1203.1757098913654,1234.0521923480073,0.8740902613808611,-1.7376203881085548,No
