Client_Name,total_reach,total_engagement,total_impressions,total_clicks,total_posts,Facebook Pages_Engagement,Facebook Pages_Reach,Instagram_Engagement,Instagram_Reach,Website_Engagement,Facebook Ads_Engagement,Facebook Ads_Reach,mailchimp_Click Rate,mailchimp_Emails Sent,mailchimp_Open Rate,mailchimp_Total Clicks,mailchimp_Unique Clicks,mailchimp_Unique Subscriber Clicks
Michigan Minds,461226,18601,345913,2502,912,14942,165860,144,416,0,1702,294963,0,0,0,0,0,0
APT Foundation,196896,903558,170030,8,2952,637,65464,105,260,908018,6,131237,0,0,0,0,0,0
Care Coalition,297205,242674,233056,57900,1416,0,0,0,0,0,39441,297265,0,0,0,0,0,0
appropriate standardized name,3978,43,2435,32,168,0,0,0,0,0,22,3988,0,0,0,0,0,0
Calm Nola,93162,344029,65309,79,2091,0,0,0,0,334486,73,93216,0,0,0,0,0,0
STEP Learning Collaborative,4145254,254704,3240138,2650,2628,3095,2124856,10101,6741,241053,1740,2013695,0,0,0,0,0,0
NYC TCTTAC,0,262154,12260,0,783,0,0,0,0,266157,0,0,0,0,0,0,0,0
Conscious Business Collaborative,54985,227693,62133,0,1843,829,54803,40,182,231092,0,0,0,0,0,0,0,0
Parker Marketing,8650,39495,11722,0,1692,4,20,10685,8630,30787,0,0,0,0,0,0,0,0
Catalyst Personal Training Oceanside,0,26798,1041,0,225,0,0,0,0,27819,0,0,0,0,0,0,0,0
Matelex US,328,289,529,0,614,268,328,0,0,0,0,0,0,0,0,0,0,0
The Fempire Co.,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rock,61527,3150,61612,0,890,2789,60850,239,677,0,0,0,0,0,0,0,0,0
ManufactureCT,1641,287,1779,0,501,262,1641,0,0,0,0,0,0,0,0,0,0,0
Amy Hughes Photography,70,26,96,0,455,26,70,0,0,0,0,0,0,0,0,0,0,0
Sunny Dublick Marketing,29,66,95,0,455,66,29,0,0,0,0,0,0,0,0,0,0,0
The Barbell Saves Project,89573,61673,90589,0,1137,4207,41383,54660,48190,0,0,0,0,0,0,0,0,0
