client_name,platform,metric,date,ensemble_forecast,arima_forecast,ets_forecast,arima_weight,ets_weight
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-04-26,0.37840811407241437,0.23565138372065167,0.5195322404892183,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-04-27,0.4880916713361455,0.45163033003173725,0.5241360310443742,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-04-28,0.4103473766449488,0.29058530073916244,0.52873982159953,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-04-29,0.43582981545300303,0.3371879238447289,0.5333436121546858,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-04-30,0.42127078621817515,0.303244388452119,0.5379474027098418,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-01,0.42858042729425144,0.31329118286260377,0.5425511932649976,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-02,0.4273377627599766,0.3061344281305229,0.5471549838201535,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-03,0.43072875640826813,0.30829859454947633,0.5517587743753093,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-04,0.432293503272451,0.3067891403416319,0.5563625649304651,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-05,0.4348402109830878,0.30725496770670035,0.560966355485621,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-06,0.4369970269214144,0.3069365010379935,0.5655701460407768,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-07,0.43936197068385974,0.3070366977582363,0.5701739365959326,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-08,0.44164369170373974,0.3069694862254613,0.5747777271510885,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-09,0.44396953208679585,0.3069910238168548,0.5793815177062444,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-10,0.4462776118543883,0.3069768347124481,0.5839853082614002,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-11,0.4485950454388147,0.3069814614519674,0.5885890988165561,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-12,0.450908689396476,0.306978465097405,0.5931928893717119,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-13,0.45322431673686997,0.3069794584532041,0.5977966799268678,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-14,0.45553913561184434,0.3069788255253777,0.6024004704820236,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-15,0.45785437509704596,0.30697903868386345,0.6070042610371794,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-16,0.4601694421347339,0.3069789049523509,0.6116080515923353,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-17,0.46248459838096395,0.3069789506699379,0.6162118421474911,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-18,0.46479971784932395,0.3069789224063173,0.6208156327026471,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-19,0.4671148562404287,0.3069789322070955,0.6254194232578029,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-20,0.46942998678904635,0.30697892623217293,0.6300232138129587,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-21,0.4717451213519725,0.3069789283323073,0.6346270043681146,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-22,0.4740602542427999,0.3069789270689003,0.6392307949232704,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-23,0.47637538798532253,0.3069789275187367,0.6438345854784262,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-24,0.47869052137138257,0.30697892725152404,0.6484383760335821,0.4971244909686005,0.5028755090313994
Sunny Dublick Marketing,Facebook Pages,total_engagement,2025-05-25,0.48100565493816105,0.30697892734783905,0.6530421665887379,0.4971244909686005,0.5028755090313994
